,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
8020,32,management,single,secondary,no,249,yes,no,unknown,2,jun,258,1,-1,0,unknown,no
11271,45,management,divorced,tertiary,no,220,yes,no,unknown,18,jun,89,4,-1,0,unknown,no
27806,43,technician,married,secondary,no,-57,no,no,cellular,28,jan,41,1,-1,0,unknown,no
34316,44,self-employed,married,unknown,no,163,yes,no,cellular,4,may,364,3,-1,0,unknown,yes
37503,35,blue-collar,married,primary,no,298,yes,no,cellular,13,may,135,2,370,2,failure,no
4326,30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,-1,0,unknown,yes
1082,38,blue-collar,married,secondary,no,22,yes,yes,unknown,7,may,353,4,-1,0,unknown,no
22594,32,management,married,tertiary,no,26,no,no,cellular,22,aug,222,6,-1,0,unknown,no
31963,44,admin.,divorced,secondary,no,21,yes,no,cellular,13,apr,681,3,-1,0,unknown,no
1850,28,blue-collar,single,secondary,no,-197,yes,no,unknown,9,may,2016,2,-1,0,unknown,yes
16249,33,management,single,tertiary,no,370,no,no,cellular,23,jul,141,1,-1,0,unknown,no
21260,51,technician,divorced,secondary,no,2323,yes,yes,cellular,18,aug,151,10,-1,0,unknown,no
39658,47,admin.,married,tertiary,no,2279,yes,yes,cellular,27,may,161,1,-1,0,unknown,no
26300,57,self-employed,divorced,tertiary,no,6519,no,no,cellular,20,nov,1040,1,-1,0,unknown,no
17376,43,technician,divorced,secondary,no,1413,yes,no,telephone,28,jul,75,3,-1,0,unknown,no
22497,50,admin.,married,primary,no,82,no,no,cellular,22,aug,101,4,-1,0,unknown,no
1280,46,blue-collar,single,secondary,no,152,yes,no,unknown,8,may,33,4,-1,0,unknown,no
41154,49,management,married,tertiary,no,629,no,no,cellular,19,aug,431,4,-1,0,unknown,no
41741,57,housemaid,single,secondary,no,254,no,no,cellular,8,oct,676,1,-1,0,unknown,no
42139,40,blue-collar,married,secondary,no,1508,no,no,cellular,3,nov,177,2,85,3,failure,no
10311,47,services,married,secondary,no,440,yes,no,unknown,12,jun,91,1,-1,0,unknown,no
37573,43,blue-collar,married,secondary,no,1437,yes,no,cellular,14,may,94,1,-1,0,unknown,no
43948,36,admin.,married,secondary,no,1031,no,no,cellular,17,jun,282,4,-1,0,unknown,yes
40764,40,blue-collar,married,secondary,no,1508,no,no,cellular,10,aug,153,2,383,1,failure,no
15609,28,technician,married,tertiary,no,739,yes,no,cellular,21,jul,316,1,-1,0,unknown,no
3747,37,management,single,tertiary,no,499,yes,no,unknown,16,may,537,1,-1,0,unknown,no
22045,40,technician,single,secondary,no,34,no,no,cellular,20,aug,66,3,-1,0,unknown,no
27830,53,self-employed,married,tertiary,no,1672,no,no,cellular,28,jan,176,1,189,1,failure,no
14158,55,services,married,secondary,no,642,yes,no,cellular,11,jul,232,2,-1,0,unknown,no
3984,30,services,single,secondary,no,442,yes,no,unknown,16,may,283,3,-1,0,unknown,no
2389,33,blue-collar,single,unknown,no,-90,yes,no,unknown,13,may,415,1,-1,0,unknown,no
42461,69,retired,married,unknown,no,426,no,no,telephone,9,dec,395,1,-1,0,unknown,yes
29264,60,services,married,secondary,no,292,no,yes,cellular,2,feb,260,5,195,4,failure,no
30003,39,unemployed,married,secondary,no,1309,yes,no,cellular,4,feb,587,2,-1,0,unknown,no
21178,58,self-employed,married,tertiary,no,584,yes,no,cellular,14,aug,124,3,-1,0,unknown,no
10820,55,housemaid,divorced,primary,no,2014,no,no,unknown,17,jun,156,2,-1,0,unknown,no
5609,31,unemployed,married,secondary,no,57,yes,yes,unknown,23,may,104,5,-1,0,unknown,no
44101,31,self-employed,married,tertiary,no,2666,no,no,telephone,8,jul,411,2,148,9,other,yes
14405,57,technician,married,primary,no,1276,yes,no,cellular,14,jul,103,4,-1,0,unknown,no
38952,30,services,single,secondary,no,438,yes,no,cellular,18,may,98,1,178,1,failure,no
19765,58,management,married,tertiary,no,648,no,no,cellular,8,aug,110,2,-1,0,unknown,no
26253,35,unemployed,married,primary,no,8489,yes,no,cellular,20,nov,217,1,-1,0,unknown,no
42683,37,admin.,single,secondary,no,4803,no,no,cellular,15,jan,396,2,-1,0,unknown,yes
39391,59,management,married,tertiary,no,2239,no,no,cellular,22,may,431,1,-1,0,unknown,yes
3296,60,entrepreneur,divorced,secondary,no,80,yes,no,unknown,15,may,397,1,-1,0,unknown,no
13695,36,admin.,divorced,primary,no,227,no,no,cellular,9,jul,185,1,-1,0,unknown,no
19232,59,retired,married,secondary,no,0,no,no,cellular,6,aug,142,2,-1,0,unknown,no
808,56,retired,single,primary,no,223,yes,no,unknown,7,may,97,1,-1,0,unknown,no
39587,26,admin.,single,tertiary,no,2170,yes,no,cellular,26,may,81,1,29,1,failure,no
132,38,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no
20205,53,services,married,secondary,no,1242,no,no,cellular,11,aug,168,2,-1,0,unknown,no
19255,31,technician,married,tertiary,no,338,no,no,cellular,6,aug,184,2,-1,0,unknown,no
20486,32,technician,single,secondary,no,5,no,no,cellular,12,aug,105,2,-1,0,unknown,no
26324,30,services,divorced,secondary,no,341,yes,no,cellular,20,nov,478,1,-1,0,unknown,yes
21585,55,management,married,tertiary,no,2537,no,no,cellular,19,aug,97,5,-1,0,unknown,no
24478,56,management,divorced,tertiary,no,968,no,no,cellular,17,nov,105,1,-1,0,unknown,no
14664,60,management,married,primary,no,0,yes,no,cellular,15,jul,111,8,-1,0,unknown,no
5559,39,blue-collar,married,secondary,no,293,yes,no,unknown,23,may,160,3,-1,0,unknown,no
33776,37,management,married,tertiary,no,0,yes,no,cellular,23,apr,242,5,153,7,failure,yes
905,35,management,married,tertiary,no,267,yes,no,unknown,7,may,192,1,-1,0,unknown,no
19001,59,admin.,married,secondary,no,2552,no,yes,cellular,5,aug,125,3,-1,0,unknown,no
43955,60,management,married,primary,no,8334,no,no,cellular,18,jun,143,1,49,7,other,no
39451,33,technician,single,secondary,no,2583,no,no,cellular,25,may,241,1,108,1,failure,no
34437,45,blue-collar,married,secondary,no,640,yes,no,cellular,5,may,214,1,1,1,success,no
247,40,management,married,tertiary,no,207,yes,no,unknown,5,may,39,1,-1,0,unknown,no
8492,31,admin.,single,secondary,no,1588,yes,no,unknown,3,jun,14,1,-1,0,unknown,no
4872,33,blue-collar,married,primary,no,256,yes,no,unknown,21,may,151,2,-1,0,unknown,no
12421,49,admin.,married,secondary,no,12,no,no,unknown,30,jun,217,2,-1,0,unknown,no
42992,30,admin.,single,secondary,no,4448,no,no,cellular,11,feb,112,8,-1,0,unknown,yes
39596,52,technician,married,secondary,no,195,yes,no,cellular,26,may,145,1,98,2,failure,no
44837,35,management,single,tertiary,no,151,no,no,unknown,20,sep,11,1,850,2,failure,no
14011,52,blue-collar,married,primary,no,142,no,no,telephone,10,jul,924,5,-1,0,unknown,no
22368,53,blue-collar,married,primary,no,109,no,no,cellular,22,aug,86,4,-1,0,unknown,no
32731,29,blue-collar,married,secondary,no,137,yes,no,cellular,17,apr,343,2,316,3,other,no
17186,28,management,married,tertiary,yes,84,no,yes,cellular,28,jul,48,21,-1,0,unknown,no
8236,31,blue-collar,married,secondary,no,-282,yes,yes,unknown,2,jun,108,1,-1,0,unknown,no
14095,57,retired,married,secondary,no,8,no,no,cellular,11,jul,93,2,-1,0,unknown,no
5773,31,admin.,married,secondary,no,298,yes,yes,unknown,26,may,518,1,-1,0,unknown,no
9798,57,housemaid,married,primary,no,0,no,no,unknown,9,jun,257,2,-1,0,unknown,no
35626,35,management,married,tertiary,no,247,yes,no,cellular,8,may,209,3,367,3,other,no
33726,30,student,single,primary,no,1527,no,no,telephone,22,apr,94,7,-1,0,unknown,no
28152,36,services,divorced,secondary,no,532,yes,no,cellular,29,jan,391,1,241,1,failure,no
26954,46,blue-collar,divorced,primary,no,219,yes,no,cellular,21,nov,729,1,-1,0,unknown,yes
8695,34,management,divorced,tertiary,no,224,no,no,unknown,3,jun,120,11,-1,0,unknown,no
15723,44,services,single,secondary,no,5,no,no,cellular,21,jul,333,2,-1,0,unknown,no
25415,36,management,married,tertiary,no,369,no,no,cellular,18,nov,193,4,102,2,failure,no
39926,43,services,single,secondary,no,2444,no,yes,cellular,2,jun,130,1,-1,0,unknown,no
32969,31,blue-collar,married,secondary,no,505,yes,no,cellular,17,apr,218,4,329,2,other,no
6139,32,management,married,tertiary,no,3517,yes,no,unknown,27,may,57,5,-1,0,unknown,no
1886,48,unemployed,married,secondary,no,855,yes,no,unknown,9,may,241,2,-1,0,unknown,no
5705,44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,11,-1,0,unknown,yes
44578,36,entrepreneur,married,secondary,no,-280,no,no,unknown,17,aug,6,1,-1,0,unknown,no
44873,35,technician,married,tertiary,no,0,yes,yes,cellular,23,sep,112,1,62,6,other,no
39878,49,technician,divorced,tertiary,no,1807,yes,no,cellular,2,jun,225,1,82,1,success,no
1442,26,blue-collar,single,secondary,no,-132,no,no,unknown,8,may,12,1,-1,0,unknown,no
2190,31,technician,single,secondary,no,628,yes,no,unknown,12,may,1083,2,-1,0,unknown,no
43146,56,management,married,unknown,no,4623,no,no,cellular,25,feb,305,1,192,1,success,yes
25996,56,management,married,tertiary,no,3610,yes,no,cellular,19,nov,162,4,-1,0,unknown,no
15302,32,admin.,married,secondary,no,280,yes,no,cellular,18,jul,59,4,-1,0,unknown,no
19963,35,technician,married,secondary,no,46,no,no,cellular,8,aug,404,4,-1,0,unknown,no
26369,48,services,divorced,secondary,no,4906,yes,no,cellular,20,nov,200,1,190,1,failure,no
3086,42,technician,married,secondary,no,645,yes,yes,unknown,14,may,349,5,-1,0,unknown,no
29954,37,blue-collar,married,primary,no,175,yes,yes,cellular,4,feb,430,2,272,3,other,no
23960,41,technician,married,secondary,no,593,no,no,cellular,29,aug,95,6,-1,0,unknown,no
29025,56,management,married,tertiary,no,363,no,no,cellular,2,feb,49,1,-1,0,unknown,no
44870,20,student,single,unknown,no,179,no,no,cellular,23,sep,317,1,182,6,failure,no
44771,47,technician,married,secondary,no,1740,yes,no,cellular,13,sep,502,1,490,1,failure,no
35203,56,blue-collar,married,secondary,no,471,yes,no,cellular,7,may,104,1,342,2,failure,no
40288,39,technician,married,secondary,no,697,no,no,cellular,15,jun,108,1,-1,0,unknown,no
24334,59,admin.,married,unknown,no,283,no,yes,unknown,17,nov,300,1,-1,0,unknown,no
42963,53,admin.,married,secondary,no,10541,no,no,cellular,9,feb,164,2,92,1,success,yes
37921,42,services,single,secondary,no,0,yes,no,cellular,14,may,67,7,177,1,other,no
24879,42,management,married,tertiary,no,2819,yes,no,cellular,18,nov,149,2,-1,0,unknown,no
40325,49,management,married,tertiary,no,4200,yes,no,telephone,16,jun,55,2,-1,0,unknown,no
995,37,blue-collar,married,primary,no,310,yes,no,unknown,7,may,474,1,-1,0,unknown,no
32350,54,blue-collar,married,primary,no,3170,yes,no,telephone,16,apr,140,2,324,4,failure,no
37287,34,blue-collar,married,secondary,no,7063,yes,no,cellular,13,may,309,1,350,9,failure,no
19164,54,management,married,tertiary,no,0,no,no,cellular,5,aug,214,3,-1,0,unknown,no
21092,61,blue-collar,married,primary,no,1115,no,no,cellular,14,aug,197,4,-1,0,unknown,no
33305,36,blue-collar,married,secondary,no,0,yes,yes,cellular,20,apr,240,1,326,1,success,no
9115,53,unemployed,divorced,secondary,no,1242,no,no,unknown,5,jun,280,1,-1,0,unknown,no
17350,50,admin.,married,secondary,no,546,no,no,cellular,28,jul,82,6,-1,0,unknown,no
36639,43,blue-collar,married,primary,no,188,yes,no,cellular,12,may,58,3,347,5,failure,no
42928,41,admin.,divorced,secondary,no,1232,no,no,cellular,5,feb,217,1,-1,0,unknown,no
10615,55,management,divorced,tertiary,no,25,no,no,unknown,16,jun,404,3,-1,0,unknown,no
30466,29,admin.,single,secondary,no,209,no,no,cellular,5,feb,605,2,-1,0,unknown,no
31478,44,services,married,secondary,no,5780,yes,no,cellular,1,apr,525,2,-1,0,unknown,no
4079,52,admin.,divorced,secondary,no,-342,no,no,unknown,19,may,153,1,-1,0,unknown,no
24965,34,technician,married,tertiary,no,178,yes,no,cellular,18,nov,85,1,-1,0,unknown,no
19774,55,retired,married,primary,no,2325,yes,yes,telephone,8,aug,87,7,-1,0,unknown,no
38665,34,blue-collar,married,primary,no,72,yes,no,cellular,15,may,93,3,-1,0,unknown,no
22363,34,technician,married,tertiary,no,149,no,no,cellular,22,aug,739,2,-1,0,unknown,yes
13169,34,self-employed,divorced,unknown,no,28,no,yes,cellular,8,jul,245,1,-1,0,unknown,no
22920,42,management,married,tertiary,no,295,yes,no,cellular,26,aug,109,3,-1,0,unknown,no
28574,45,technician,single,secondary,no,-55,no,no,cellular,29,jan,78,3,197,1,failure,no
29708,26,blue-collar,single,secondary,no,4751,no,no,cellular,3,feb,231,3,-1,0,unknown,no
7135,55,management,married,tertiary,no,0,no,no,unknown,29,may,206,2,-1,0,unknown,no
24666,50,admin.,divorced,tertiary,no,66,yes,no,cellular,17,nov,77,2,-1,0,unknown,no
28190,32,services,single,secondary,no,486,no,no,cellular,29,jan,1181,1,-1,0,unknown,yes
34424,34,management,single,tertiary,no,26575,no,no,cellular,5,may,245,6,168,1,failure,no
30669,50,management,married,tertiary,no,346,no,no,cellular,6,feb,178,1,-1,0,unknown,yes
20534,34,housemaid,married,tertiary,no,897,no,no,cellular,12,aug,197,4,-1,0,unknown,no
29286,35,admin.,married,tertiary,no,1145,yes,no,cellular,2,feb,82,2,-1,0,unknown,no
22902,57,housemaid,married,primary,no,1303,no,no,cellular,25,aug,83,4,-1,0,unknown,no
44685,51,technician,married,secondary,no,980,no,no,cellular,6,sep,114,2,-1,0,unknown,no
9916,41,technician,single,tertiary,no,1104,no,no,unknown,9,jun,352,1,-1,0,unknown,no
15305,52,technician,married,secondary,no,2102,yes,no,cellular,18,jul,292,2,-1,0,unknown,no
2978,56,blue-collar,divorced,secondary,no,166,yes,no,unknown,14,may,350,2,-1,0,unknown,no
44344,30,admin.,single,tertiary,no,8,no,yes,cellular,30,jul,76,2,150,1,failure,no
17162,56,technician,married,secondary,no,4063,no,yes,telephone,28,jul,31,4,-1,0,unknown,no
36472,26,student,single,tertiary,no,249,yes,no,cellular,11,may,445,2,371,1,other,no
22717,34,technician,married,secondary,no,545,yes,no,cellular,25,aug,96,4,-1,0,unknown,no
43271,37,management,married,tertiary,no,0,no,no,cellular,11,mar,129,4,107,2,failure,no
24940,43,technician,single,secondary,yes,685,yes,no,cellular,18,nov,78,1,110,2,failure,no
37575,33,management,single,secondary,no,1615,yes,no,cellular,14,may,178,8,174,3,failure,no
23396,32,technician,single,tertiary,no,930,no,no,cellular,27,aug,85,7,-1,0,unknown,no
16368,25,management,single,tertiary,no,323,no,yes,cellular,23,jul,98,1,-1,0,unknown,no
20704,45,housemaid,married,primary,no,7353,no,no,cellular,13,aug,536,2,-1,0,unknown,no
28281,37,services,married,secondary,no,1694,yes,yes,cellular,29,jan,404,2,251,6,failure,no
32146,62,blue-collar,married,secondary,no,180,no,no,cellular,15,apr,389,2,-1,0,unknown,yes
15918,31,admin.,single,secondary,no,112,yes,no,cellular,22,jul,102,7,-1,0,unknown,no
11883,48,blue-collar,married,secondary,no,10724,no,no,unknown,20,jun,238,3,-1,0,unknown,no
16826,32,services,divorced,secondary,no,4612,yes,no,cellular,24,jul,937,4,-1,0,unknown,no
43351,46,management,single,secondary,no,5993,no,no,cellular,25,mar,151,1,184,2,failure,no
39714,25,admin.,single,tertiary,no,760,yes,no,cellular,27,may,223,3,89,2,failure,yes
42787,52,technician,married,tertiary,no,2557,no,no,cellular,28,jan,134,5,204,2,success,yes
40481,82,retired,married,primary,no,8603,no,no,cellular,7,jul,429,1,-1,0,unknown,yes
21848,42,management,married,tertiary,no,160,no,no,cellular,20,aug,97,2,-1,0,unknown,no
24679,54,technician,married,unknown,no,1162,no,no,telephone,17,nov,37,2,-1,0,unknown,no
15891,38,services,married,secondary,yes,-433,yes,no,cellular,21,jul,111,2,-1,0,unknown,no
36923,43,blue-collar,married,primary,no,555,yes,no,cellular,12,may,175,2,369,2,failure,no
29043,40,unemployed,single,tertiary,no,97,yes,yes,cellular,2,feb,73,1,252,1,failure,no
34183,37,technician,single,tertiary,no,6101,no,no,cellular,4,may,60,5,87,1,success,no
34873,23,services,married,secondary,no,83,yes,no,cellular,6,may,199,1,358,1,failure,no
4514,31,admin.,single,secondary,no,2144,yes,no,unknown,20,may,89,1,-1,0,unknown,no
38043,40,blue-collar,married,primary,no,2805,yes,no,cellular,14,may,173,6,353,23,failure,no
5752,30,technician,single,secondary,no,-754,yes,yes,unknown,26,may,974,1,-1,0,unknown,no
32869,32,admin.,single,secondary,no,103,yes,no,cellular,17,apr,158,1,337,1,other,no
37918,40,services,single,secondary,no,573,yes,no,cellular,14,may,329,1,-1,0,unknown,no
21945,49,technician,married,secondary,no,51,no,no,cellular,20,aug,513,4,-1,0,unknown,no
29191,46,services,divorced,unknown,no,973,no,no,cellular,2,feb,297,1,-1,0,unknown,no
40941,32,technician,single,tertiary,no,1246,yes,no,cellular,12,aug,68,1,104,3,success,no
5177,33,technician,divorced,secondary,no,4369,yes,no,unknown,21,may,433,3,-1,0,unknown,no
25248,50,admin.,single,secondary,no,5816,yes,no,telephone,18,nov,119,2,-1,0,unknown,no
29586,29,technician,single,secondary,no,18,no,no,cellular,3,feb,206,3,-1,0,unknown,no
40100,32,management,single,tertiary,no,252,no,no,cellular,4,jun,216,2,-1,0,unknown,no
5512,43,admin.,single,secondary,no,-495,yes,yes,unknown,23,may,131,1,-1,0,unknown,no
18319,50,blue-collar,married,unknown,no,2284,yes,no,telephone,31,jul,1088,17,-1,0,unknown,yes
37420,25,blue-collar,single,primary,no,-289,yes,no,telephone,13,may,56,2,-1,0,unknown,no
6374,46,management,married,tertiary,no,1285,yes,no,unknown,27,may,89,1,-1,0,unknown,no
9721,47,unemployed,married,secondary,no,2024,no,no,unknown,9,jun,169,1,-1,0,unknown,no
22507,59,housemaid,married,primary,no,57,no,no,cellular,22,aug,212,11,-1,0,unknown,no
30681,37,unemployed,divorced,secondary,no,74,yes,no,cellular,6,feb,120,1,275,1,failure,no
4702,27,admin.,single,secondary,no,-215,yes,no,unknown,20,may,89,3,-1,0,unknown,no
10969,36,services,single,secondary,no,99,no,no,unknown,17,jun,256,9,-1,0,unknown,no
1009,53,services,married,primary,no,46,yes,no,unknown,7,may,274,1,-1,0,unknown,no
14081,45,housemaid,married,secondary,no,0,no,no,cellular,11,jul,216,2,-1,0,unknown,no
1938,56,management,married,secondary,no,230,no,no,unknown,9,may,73,4,-1,0,unknown,no
27254,30,housemaid,single,secondary,no,358,yes,no,cellular,21,nov,45,2,-1,0,unknown,no
1520,37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,-1,0,unknown,yes
26867,34,self-employed,divorced,tertiary,no,681,no,no,cellular,20,nov,382,6,-1,0,unknown,no
35493,41,blue-collar,married,secondary,no,424,yes,no,cellular,7,may,83,5,-1,0,unknown,no
34630,53,services,married,primary,no,171,yes,yes,cellular,5,may,343,4,167,6,other,no
2400,23,admin.,single,secondary,no,5,yes,no,unknown,13,may,93,1,-1,0,unknown,no
1810,55,blue-collar,married,primary,no,1373,no,no,unknown,9,may,1087,2,-1,0,unknown,no
18471,47,management,married,tertiary,no,2597,no,no,cellular,31,jul,52,2,-1,0,unknown,no
21508,54,blue-collar,married,secondary,no,0,no,no,cellular,19,aug,87,2,-1,0,unknown,no
30869,34,admin.,single,secondary,no,1,yes,no,cellular,9,feb,185,7,280,1,other,no
9176,29,services,married,primary,no,549,yes,no,unknown,5,jun,61,2,-1,0,unknown,no
2255,25,blue-collar,married,secondary,no,-76,yes,no,unknown,12,may,241,3,-1,0,unknown,no
41621,47,admin.,married,secondary,no,2601,no,no,cellular,24,sep,261,1,-1,0,unknown,yes
15226,34,unemployed,married,secondary,no,2126,yes,no,cellular,17,jul,215,2,-1,0,unknown,no
31404,48,admin.,divorced,secondary,no,0,yes,yes,cellular,26,mar,94,1,-1,0,unknown,no
14168,59,retired,married,unknown,no,178,yes,no,telephone,11,jul,330,2,-1,0,unknown,no
10895,48,blue-collar,married,secondary,no,1562,no,no,unknown,17,jun,50,2,-1,0,unknown,no
25581,34,blue-collar,married,secondary,no,360,yes,no,telephone,19,nov,46,1,182,2,failure,no
39417,27,student,single,tertiary,no,3733,yes,no,cellular,22,may,198,1,98,6,success,yes
